Nama Pemain,Nomor Punggung,Posisi,Club,Negara
Antony,21,RW,Manchester United,BRA
Marcus Rashford,10,LW,Manchester United,ENG
Rasmus Højlund,9,FW,Manchester United,DEN
Diogo Dalot,20,LB,Manchester United,POR
Lisandro Martínez,6,CB,Manchester United,ARG
Joshua Zirkzee,11,FW,Manchester United,NED
Matthijs de Ligt,4,CB,Manchester United,NED
Jonny Evans,35,LB,Manchester United,NIR
Joshua Zirkzee,11,FW,Manchester United,NED
Matthijs de Ligt,4,CB,Manchester United,NED
Noussair Mazraoui,3,RB,Manchester United,MAR
Joshua Zirkzee,11,FW,Manchester United,NED
Marcus Rashford,10,LW,Manchester United,ENG
Alejandro Garnacho,17,LW,Manchester United,ARG
Harvey Barnes,11,LW,Newcastle United,ENG
Alexander Isak,14,FW,Newcastle United,SWE
Nick Pope,22,GK,Newcastle United,ENG
Fabian Schär,5,CB,Newcastle United,SUI
Valentino Livramento,21,RB,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Joe Willock,28,LW,Newcastle United,ENG
Kieran Trippier,2,"RB,RM",Newcastle United,ENG
Miguel Almirón,24,RW,Newcastle United,PAR
Fabian Schär,5,CB,Newcastle United,SUI
William Osula,18,LM,Newcastle United,DEN
Bruno Guimarães,39,CM,Newcastle United,BRA
Sandro Tonali,8,RM,Newcastle United,ITA
Sean Longstaff,36,RM,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Lloyd Kelly,25,LB,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Lewis Hall,20,"LB,LM",Newcastle United,ENG
Joelinton,7,LM,Newcastle United,BRA
Sandro Tonali,8,"RM,CM",Newcastle United,ITA
Valentino Livramento,21,RB,Newcastle United,ENG
Lloyd Kelly,25,CB,Newcastle United,ENG
Bruno Guimarães,39,CM,Newcastle United,BRA
Sandro Tonali,8,RM,Newcastle United,ITA
Sean Longstaff,36,RM,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Fabian Schär,5,CB,Newcastle United,SUI
Kieran Trippier,2,RB,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Sandro Tonali,8,LM,Newcastle United,ITA
Bruno Guimarães,39,CM,Newcastle United,BRA
Sean Longstaff,36,RM,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Fabian Schär,5,CB,Newcastle United,SUI
Joelinton,7,LM,Newcastle United,BRA
Sean Longstaff,36,RM,Newcastle United,ENG
Joe Willock,28,LW,Newcastle United,ENG
Miguel Almirón,24,RW,Newcastle United,PAR
Bruno Guimarães,39,CM,Newcastle United,BRA
Joe Willock,28,"LM,CM",Newcastle United,ENG
Joelinton,7,LM,Newcastle United,BRA
Jacob Murphy,23,RW,Newcastle United,ENG
Anthony Gordon,10,"FW,LW",Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Alexander Isak,14,FW,Newcastle United,SWE
Alexander Isak,14,FW,Newcastle United,SWE
William Osula,18,FW,Newcastle United,DEN
Joelinton,7,"RW,LW",Newcastle United,BRA
Anthony Gordon,10,"RW,LW",Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Joe Willock,28,LM,Newcastle United,ENG
Anthony Gordon,10,FW,Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Jacob Murphy,23,"RW,LW",Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Sean Longstaff,36,RM,Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Fabian Schär,5,CB,Newcastle United,SUI
Dan Burn,33,CB,Newcastle United,ENG
Lloyd Kelly,25,LB,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Sean Longstaff,36,RM,Newcastle United,ENG
Bruno Guimarães,39,CM,Newcastle United,BRA
Joelinton,7,LM,Newcastle United,BRA
Emil Krafth,17,CB,Newcastle United,SWE
Jacob Murphy,23,RW,Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Anthony Gordon,10,LW,Newcastle United,ENG
Alexander Isak,14,FW,Newcastle United,SWE
Nick Pope,22,GK,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Emil Krafth,17,CB,Newcastle United,SWE
Kieran Trippier,2,RB,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Anthony Gordon,10,FW,Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Joe Willock,28,LW,Newcastle United,ENG
Jacob Murphy,23,RW,Newcastle United,ENG
Joelinton,7,LM,Newcastle United,BRA
Bruno Guimarães,39,CM,Newcastle United,BRA
Sandro Tonali,8,RM,Newcastle United,ITA
Sean Longstaff,36,RM,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Fabian Schär,5,CB,Newcastle United,SUI
Kieran Trippier,2,RB,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Alexander Isak,14,"FW,AM",Newcastle United,SWE
Fabian Schär,5,CB,Newcastle United,SUI
Lewis Hall,20,LB,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Lloyd Kelly,25,"CB,CM",Newcastle United,ENG
Bruno Guimarães,39,CM,Newcastle United,BRA
Sandro Tonali,8,"LM,CM",Newcastle United,ITA
Joe Willock,28,LM,Newcastle United,ENG
Harvey Barnes,11,"RW,RM",Newcastle United,ENG
Anthony Gordon,10,RW,Newcastle United,ENG
Joelinton,7,LW,Newcastle United,BRA
Alexander Isak,14,FW,Newcastle United,SWE
Jacob Murphy,23,RW,Newcastle United,ENG
Joe Willock,28,LM,Newcastle United,ENG
William Osula,18,FW,Newcastle United,DEN
Anthony Gordon,10,"RW,AM",Newcastle United,ENG
Fabian Schär,5,CB,Newcastle United,SUI
Dan Burn,33,CB,Newcastle United,ENG
Valentino Livramento,21,RB,Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Lloyd Kelly,25,LB,Newcastle United,ENG
Sandro Tonali,8,DM,Newcastle United,ITA
Joelinton,7,"RM,DM",Newcastle United,BRA
Bruno Guimarães,39,"DM,CM",Newcastle United,BRA
Lewis Hall,20,LB,Newcastle United,ENG
Lloyd Kelly,25,LB,Newcastle United,ENG
Sandro Tonali,8,RM,Newcastle United,ITA
Sean Longstaff,36,RM,Newcastle United,ENG
Bruno Guimarães,39,CM,Newcastle United,BRA
Joelinton,7,LM,Newcastle United,BRA
Miguel Almirón,24,LW,Newcastle United,PAR
Anthony Gordon,10,"RW,LW",Newcastle United,ENG
Jacob Murphy,23,RW,Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Alexander Isak,14,FW,Newcastle United,SWE
Nick Pope,22,GK,Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Jacob Murphy,23,RW,Newcastle United,ENG
Bruno Guimarães,39,CM,Newcastle United,BRA
Anthony Gordon,10,"LW,RW",Newcastle United,ENG
Miguel Almirón,24,RW,Newcastle United,PAR
Jacob Murphy,23,RW,Newcastle United,ENG
Harvey Barnes,11,LW,Newcastle United,ENG
Joelinton,7,LM,Newcastle United,BRA
Sean Longstaff,36,RM,Newcastle United,ENG
Alexander Isak,14,FW,Newcastle United,SWE
Joe Willock,28,RM,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Dan Burn,33,CB,Newcastle United,ENG
Emil Krafth,17,CB,Newcastle United,SWE
Valentino Livramento,21,RB,Newcastle United,ENG
Kieran Trippier,2,RB,Newcastle United,ENG
Nick Pope,22,GK,Newcastle United,ENG
Lloyd Kelly,25,LB,Newcastle United,ENG
Anthony Gordon,10,"LW,RW",Newcastle United,ENG
Alexander Isak,14,FW,Newcastle United,SWE
Jacob Murphy,23,RW,Newcastle United,ENG
Fabian Schär,5,CB,Newcastle United,SUI
Dan Burn,33,CB,Newcastle United,ENG
Sean Longstaff,36,CM,Newcastle United,ENG
Lewis Hall,20,LB,Newcastle United,ENG
Joe Willock,28,LM,Newcastle United,ENG
Sandro Tonali,8,RM,Newcastle United,ITA
William Osula,18,LB,Newcastle United,DEN
Bruno Guimarães,39,CM,Newcastle United,BRA
Joelinton,7,"LM,RM",Newcastle United,BRA
Harvey Barnes,11,LW,Newcastle United,ENG
Miguel Almirón,24,RW,Newcastle United,PAR
Elliot Anderson,8,AM,Nottingham Forest,ENG
Morgan Gibbs-White,10,AM,Nottingham Forest,ENG
Anthony Elanga,21,"RW,LM",Nottingham Forest,SWE
Willy Boly,30,CB,Nottingham Forest,CIV
Matz Sels,26,GK,Nottingham Forest,BEL
Eric da Silva Moreira,17,RB,Nottingham Forest,GER
Ryan Yates,22,DM,Nottingham Forest,ENG
Álex Moreno,19,LB,Nottingham Forest,ESP
Murillo,5,CB,Nottingham Forest,BRA
Ola Aina,34,RB,Nottingham Forest,NGA
Morgan Gibbs-White,10,AM,Nottingham Forest,ENG
Nikola Milenković,31,CB,Nottingham Forest,SRB
Nicolás Domínguez,16,DM,Nottingham Forest,ARG
Jota Silva,20,RW,Nottingham Forest,POR
Chris Wood,11,FW,Nottingham Forest,NZL
Ramón Sosa,24,LW,Nottingham Forest,PAR
Nicolás Domínguez,16,RW,Nottingham Forest,ARG
Callum Hudson-Odoi,14,"LW,LM,RW",Nottingham Forest,ENG
Morgan Gibbs-White,10,AM,Nottingham Forest,ENG
Morato,4,CB,Nottingham Forest,BRA
James Ward-Prowse,18,"DM,CM",Nottingham Forest,ENG
Elliot Anderson,8,DM,Nottingham Forest,ENG
Matz Sels,26,GK,Nottingham Forest,BEL
Ola Aina,34,RB,Nottingham Forest,NGA
Nikola Milenković,31,CB,Nottingham Forest,SRB
Murillo,5,CB,Nottingham Forest,BRA
Neco Williams,7,LB,Nottingham Forest,WAL
Álex Moreno,19,LB,Nottingham Forest,ESP
Jota Silva,20,AM,Nottingham Forest,POR
Anthony Elanga,21,RW,Nottingham Forest,SWE
Elliot Anderson,8,RM,Nottingham Forest,ENG
James Ward-Prowse,18,"CM,DM",Nottingham Forest,ENG
Ryan Yates,22,"CM,DM",Nottingham Forest,ENG
Callum Hudson-Odoi,14,LW,Nottingham Forest,ENG
Nicolás Domínguez,16,LM,Nottingham Forest,ARG
Anthony Elanga,21,"RW,FW",Nottingham Forest,SWE
Taiwo Awoniyi,9,FW,Nottingham Forest,NGA
Chris Wood,11,FW,Nottingham Forest,NZL
Jota Silva,20,RM,Nottingham Forest,POR
Taiwo Awoniyi,9,FW,Nottingham Forest,NGA
Callum Hudson-Odoi,14,LW,Nottingham Forest,ENG
Chris Wood,11,FW,Nottingham Forest,NZL
Taiwo Awoniyi,9,FW,Nottingham Forest,NGA
Callum Hudson-Odoi,14,LW,Nottingham Forest,ENG
Ramón Sosa,24,DM,Nottingham Forest,PAR
Elliot Anderson,8,DM,Nottingham Forest,ENG
Chris Wood,11,FW,Nottingham Forest,NZL
Ibrahim Sangaré,6,DM,Nottingham Forest,CIV
Morgan Gibbs-White,10,"AM,DM,CM",Nottingham Forest,ENG
Callum Hudson-Odoi,14,"RW,LW,LM",Nottingham Forest,ENG
Jota Silva,20,"RW,FW,AM,CM",Nottingham Forest,POR
Anthony Elanga,21,LW,Nottingham Forest,SWE
Chris Wood,11,FW,Nottingham Forest,NZL
Taiwo Awoniyi,9,FW,Nottingham Forest,NGA
Callum Hudson-Odoi,14,LW,Nottingham Forest,ENG
Elliot Anderson,8,LW,Nottingham Forest,ENG
Anthony Elanga,21,RW,Nottingham Forest,SWE
Elliot Anderson,8,DM,Nottingham Forest,ENG
Nicolás Domínguez,16,RW,Nottingham Forest,ARG
Danilo,28,DM,Nottingham Forest,BRA
Ryan Yates,22,DM,Nottingham Forest,ENG
Ibrahim Sangaré,6,DM,Nottingham Forest,CIV
Morato,4,"CB,FW",Nottingham Forest,BRA
Chris Wood,11,FW,Nottingham Forest,NZL
Matz Sels,26,GK,Nottingham Forest,BEL
Neco Williams,7,RB,Nottingham Forest,WAL
Willy Boly,30,CB,Nottingham Forest,CIV
Murillo,5,CB,Nottingham Forest,BRA
Morgan Gibbs-White,10,AM,Nottingham Forest,ENG
Nicolás Domínguez,16,"DM,CM",Nottingham Forest,ARG
Ramón Sosa,24,"RM,RW,DM",Nottingham Forest,PAR
Ryan Yates,22,"DM,CM",Nottingham Forest,ENG
Ryan Yates,22,"DM,CM",Nottingham Forest,ENG
Ola Aina,34,LB,Nottingham Forest,NGA
Murillo,5,CB,Nottingham Forest,BRA
Nikola Milenković,31,CB,Nottingham Forest,SRB
Neco Williams,7,RB,Nottingham Forest,WAL
Matz Sels,26,GK,Nottingham Forest,BEL
Anthony Elanga,21,"RW,FW",Nottingham Forest,SWE
Ryan Yates,22,"DM,CM",Nottingham Forest,ENG
Álex Moreno,19,LB,Nottingham Forest,ESP
James Ward-Prowse,18,DM,Nottingham Forest,ENG
Neco Williams,7,LB,Nottingham Forest,WAL
Nikola Milenković,31,CB,Nottingham Forest,SRB
Ola Aina,34,RB,Nottingham Forest,NGA
Matz Sels,26,GK,Nottingham Forest,BEL
Matz Sels,26,GK,Nottingham Forest,BEL
Ola Aina,34,"LB,RB",Nottingham Forest,NGA
Nikola Milenković,31,CB,Nottingham Forest,SRB
Murillo,5,CB,Nottingham Forest,BRA
Neco Williams,7,RB,Nottingham Forest,WAL
Álex Moreno,19,LB,Nottingham Forest,ESP
Murillo,5,CB,Nottingham Forest,BRA
Harry Toffolo,15,LB,Nottingham Forest,ENG
Ola Aina,34,LB,Nottingham Forest,NGA
Chris Wood,11,FW,Nottingham Forest,NZL
Ramón Sosa,24,LW,Nottingham Forest,PAR
Anthony Elanga,21,RW,Nottingham Forest,SWE
Jota Silva,20,RW,Nottingham Forest,POR
Morgan Gibbs-White,10,AM,Nottingham Forest,ENG
Murillo,5,CB,Nottingham Forest,BRA
Callum Hudson-Odoi,14,LW,Nottingham Forest,ENG
Ramón Sosa,24,LW,Nottingham Forest,PAR
Callum Hudson-Odoi,14,LW,Nottingham Forest,ENG
Anthony Elanga,21,RW,Nottingham Forest,SWE
Nikola Milenković,31,CB,Nottingham Forest,SRB
Ryan Yates,22,"DM,CM",Nottingham Forest,ENG
Nicolás Domínguez,16,"DM,CM",Nottingham Forest,ARG
Neco Williams,7,LM,Nottingham Forest,WAL
Elliot Anderson,8,AM,Nottingham Forest,ENG
Jota Silva,20,RW,Nottingham Forest,POR
Nikola Milenković,31,CB,Nottingham Forest,SRB
Callum Hudson-Odoi,14,"RW,LW",Nottingham Forest,ENG
Chris Wood,11,FW,Nottingham Forest,NZL
Matz Sels,26,GK,Nottingham Forest,BEL
Taiwo Awoniyi,9,DM,Nottingham Forest,NGA
Neco Williams,7,LB,Nottingham Forest,WAL
Álex Moreno,19,LB,Nottingham Forest,ESP
Ryan Yates,22,"DM,CM",Nottingham Forest,ENG
Álex Moreno,19,LB,Nottingham Forest,ESP
Morato,4,CB,Nottingham Forest,BRA
Murillo,5,CB,Nottingham Forest,BRA
Nikola Milenković,31,CB,Nottingham Forest,SRB
Ola Aina,34,"RB,RM",Nottingham Forest,NGA
Matz Sels,26,GK,Nottingham Forest,BEL
Jota Silva,20,"RM,RW",Nottingham Forest,POR
Elliot Anderson,8,LW,Nottingham Forest,ENG
Anthony Elanga,21,LM,Nottingham Forest,SWE
Chris Wood,11,FW,Nottingham Forest,NZL
Murillo,5,CB,Nottingham Forest,BRA
Ola Aina,34,LB,Nottingham Forest,NGA
Ryan Yates,22,DM,Nottingham Forest,ENG
Ibrahim Sangaré,6,DM,Nottingham Forest,CIV
Neco Williams,7,RB,Nottingham Forest,WAL
Matz Sels,26,GK,Nottingham Forest,BEL
Taiwo Awoniyi,9,FW,Nottingham Forest,NGA
James Ward-Prowse,18,DM,Nottingham Forest,ENG
Ramón Sosa,24,"LW,LB",Nottingham Forest,PAR
Ryan Yates,22,"DM,CM",Nottingham Forest,ENG
Álex Moreno,19,LB,Nottingham Forest,ESP
Ola Aina,34,RB,Nottingham Forest,NGA
Murillo,5,CB,Nottingham Forest,BRA
Nikola Milenković,31,CB,Nottingham Forest,SRB
Ola Aina,34,RB,Nottingham Forest,NGA
Matz Sels,26,GK,Nottingham Forest,BEL
Matz Sels,26,GK,Nottingham Forest,BEL
Ola Aina,34,RB,Nottingham Forest,NGA
Nikola Milenković,31,CB,Nottingham Forest,SRB
Murillo,5,CB,Nottingham Forest,BRA
Morato,4,CB,Nottingham Forest,BRA
Álex Moreno,19,LB,Nottingham Forest,ESP
Ryan Yates,22,"DM,CM",Nottingham Forest,ENG
Nicolás Domínguez,16,"DM,CM",Nottingham Forest,ARG
Neco Williams,7,LB,Nottingham Forest,WAL
Elliot Anderson,8,AM,Nottingham Forest,ENG
Jota Silva,20,RM,Nottingham Forest,POR
Anthony Elanga,21,"RW,RM",Nottingham Forest,SWE
Ramón Sosa,24,LM,Nottingham Forest,PAR
Callum Hudson-Odoi,14,"LW,LM",Nottingham Forest,ENG
Taiwo Awoniyi,9,FW,Nottingham Forest,NGA
Nicolás Domínguez,16,DM,Nottingham Forest,ARG
Elliot Anderson,8,"AM,DM,CM",Nottingham Forest,ENG
James Ward-Prowse,18,"LM,LB",Nottingham Forest,ENG
Chris Wood,11,FW,Nottingham Forest,NZL
Morgan Gibbs-White,10,AM,Nottingham Forest,ENG
Nicolás Domínguez,16,"CM,DM,AM",Nottingham Forest,ARG
Morgan Gibbs-White,10,AM,Nottingham Forest,ENG
Morato,4,CB,Nottingham Forest,BRA
Taiwo Awoniyi,9,"FW,AM",Nottingham Forest,NGA
Chris Wood,11,FW,Nottingham Forest,NZL
Jota Silva,20,RM,Nottingham Forest,POR
Elliot Anderson,8,LW,Nottingham Forest,ENG
Anthony Elanga,21,"RW,LW,AM",Nottingham Forest,SWE
Callum Hudson-Odoi,14,LW,Nottingham Forest,ENG
Jota Silva,20,"RW,RM",Nottingham Forest,POR
Jack Stephens,5,CB,Southampton,ENG
Flynn Downes,4,CM,Southampton,ENG
Paul Onuachu,32,FW,Southampton,NGA
Ben Brereton,17,"FW,LW",Southampton,CHI
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Yukinari Sugawara,16,RB,Southampton,JPN
Cameron Archer,19,FW,Southampton,ENG
Joe Aribo,7,CM,Southampton,NGA
Adam Armstrong,9,FW,Southampton,ENG
Aaron Ramsdale,30,GK,Southampton,ENG
Adam Armstrong,9,"RM,LW",Southampton,ENG
Adam Lallana,10,CM,Southampton,ENG
Lesley Ugochukwu,26,CM,Southampton,FRA
Mateus Fernandes,18,"LM,CM",Southampton,POR
Paul Onuachu,32,FW,Southampton,NGA
Cameron Archer,19,FW,Southampton,ENG
Charlie Taylor,21,"WB,LM",Southampton,ENG
Ryan Manning,3,LB,Southampton,IRL
Kyle Walker-Peters,2,"RB,LB",Southampton,ENG
Tyler Dibling,33,"LB,RW",Southampton,ENG
Yukinari Sugawara,16,RB,Southampton,JPN
Joe Aribo,7,"CM,LM",Southampton,NGA
Jan Bednarek,35,CB,Southampton,POL
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Kyle Walker-Peters,2,"RB,LB",Southampton,ENG
Aaron Ramsdale,30,GK,Southampton,ENG
Samuel Edozie,23,"WB,RW",Southampton,ENG
Flynn Downes,4,CM,Southampton,ENG
Jack Stephens,5,CB,Southampton,ENG
Tyler Dibling,33,"AM,LB,RW",Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Adam Armstrong,9,"RM,LW",Southampton,ENG
Adam Lallana,10,CM,Southampton,ENG
Mateus Fernandes,18,"LM,DM,AM",Southampton,POR
Paul Onuachu,32,FW,Southampton,NGA
Cameron Archer,19,FW,Southampton,ENG
Tyler Dibling,33,RM,Southampton,ENG
Kamaldeen Sulemana,20,"LM,CM",Southampton,GHA
Flynn Downes,4,CM,Southampton,ENG
Joe Aribo,7,CM,Southampton,NGA
Adam Lallana,10,CM,Southampton,ENG
Mateus Fernandes,18,"LM,CM",Southampton,POR
Paul Onuachu,32,FW,Southampton,NGA
Cameron Archer,19,FW,Southampton,ENG
Tyler Dibling,33,RM,Southampton,ENG
Ryan Manning,3,LB,Southampton,IRL
Paul Onuachu,32,FW,Southampton,NGA
Kyle Walker-Peters,2,"CB,LB,RB",Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Yukinari Sugawara,16,RB,Southampton,JPN
Charlie Taylor,21,LB,Southampton,ENG
Aaron Ramsdale,30,GK,Southampton,ENG
Adam Armstrong,9,RM,Southampton,ENG
Ryan Manning,3,LB,Southampton,IRL
Alex McCarthy,1,GK,Southampton,ENG
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Ben Brereton,17,RW,Southampton,CHI
Joe Aribo,7,"CM,DM",Southampton,NGA
Lesley Ugochukwu,26,DM,Southampton,FRA
Ross Stewart,11,FW,Southampton,SCO
Cameron Archer,19,"FW,LW",Southampton,ENG
Mateus Fernandes,18,LM,Southampton,POR
Adam Armstrong,9,RW,Southampton,ENG
Flynn Downes,4,CM,Southampton,ENG
Joe Aribo,7,"CM,LM",Southampton,NGA
Kyle Walker-Peters,2,"RB,LB",Southampton,ENG
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Jack Stephens,5,CB,Southampton,ENG
James Bree,14,RB,Southampton,ENG
Ryan Manning,3,LB,Southampton,IRL
William Smallbone,8,"CM,RM",Southampton,IRL
Tyler Dibling,33,CM,Southampton,ENG
Kyle Walker-Peters,2,"WB,CB,RB",Southampton,ENG
Yukinari Sugawara,16,WB,Southampton,JPN
Cameron Archer,19,FW,Southampton,ENG
Jack Stephens,5,"CB,LB",Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Mateus Fernandes,18,"CM,CB",Southampton,POR
Ryan Manning,3,"LW,LB",Southampton,IRL
Aaron Ramsdale,30,GK,Southampton,ENG
Tyler Dibling,33,RW,Southampton,ENG
Tyler Dibling,33,"FW,RW",Southampton,ENG
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Tyler Dibling,33,RW,Southampton,ENG
Aaron Ramsdale,30,GK,Southampton,ENG
Adam Armstrong,9,RW,Southampton,ENG
Mateus Fernandes,18,AM,Southampton,POR
Joe Aribo,7,AM,Southampton,NGA
Adam Lallana,10,DM,Southampton,ENG
Aaron Ramsdale,30,GK,Southampton,ENG
Ryan Fraser,24,LW,Southampton,SCO
Yukinari Sugawara,16,RB,Southampton,JPN
Aaron Ramsdale,30,GK,Southampton,ENG
Yukinari Sugawara,16,RB,Southampton,JPN
Jack Stephens,5,CB,Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Kyle Walker-Peters,2,LB,Southampton,ENG
Lesley Ugochukwu,26,DM,Southampton,FRA
Flynn Downes,4,DM,Southampton,ENG
Charlie Taylor,21,LB,Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Yukinari Sugawara,16,RB,Southampton,JPN
Aaron Ramsdale,30,GK,Southampton,ENG
Alex McCarthy,1,GK,Southampton,ENG
Charlie Taylor,21,LB,Southampton,ENG
Samuel Amo-Ameyaw,27,WB,Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Cameron Archer,19,RW,Southampton,ENG
Ryan Fraser,24,LW,Southampton,SCO
Joe Aribo,7,"LM,LW",Southampton,NGA
Maxwel Cornet,22,RW,Southampton,CIV
Cameron Archer,19,FW,Southampton,ENG
Ben Brereton,17,LW,Southampton,CHI
Ryan Fraser,24,LW,Southampton,SCO
Ross Stewart,11,FW,Southampton,SCO
Tyler Dibling,33,RW,Southampton,ENG
Ben Brereton,17,"FW,LW",Southampton,CHI
Adam Armstrong,9,FW,Southampton,ENG
Cameron Archer,19,FW,Southampton,ENG
Joe Aribo,7,"CM,RM",Southampton,NGA
Adam Lallana,10,RM,Southampton,ENG
Flynn Downes,4,CM,Southampton,ENG
William Smallbone,8,CM,Southampton,IRL
Mateus Fernandes,18,"LM,CM",Southampton,POR
Jack Stephens,5,CB,Southampton,ENG
Kyle Walker-Peters,2,"WB,LB",Southampton,ENG
Jack Stephens,5,CB,Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Aaron Ramsdale,30,GK,Southampton,ENG
Yukinari Sugawara,16,RB,Southampton,JPN
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Jan Bednarek,35,CB,Southampton,POL
Charlie Taylor,21,LB,Southampton,ENG
Flynn Downes,4,"DM,CM",Southampton,ENG
Ross Stewart,11,"FW,DM",Southampton,SCO
Lesley Ugochukwu,26,DM,Southampton,FRA
Adam Lallana,10,RM,Southampton,ENG
Mateus Fernandes,18,AM,Southampton,POR
Ben Brereton,17,"LW,RW",Southampton,CHI
Yukinari Sugawara,16,"WB,RB",Southampton,JPN
Samuel Edozie,23,WB,Southampton,ENG
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Carlos Alcaraz,22,CM,Southampton,ARG
Maxwel Cornet,22,RW,Southampton,CIV
Lesley Ugochukwu,26,DM,Southampton,FRA
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Mateus Fernandes,18,AM,Southampton,POR
Adam Lallana,10,DM,Southampton,ENG
Tyler Dibling,33,RW,Southampton,ENG
Ryan Fraser,24,LW,Southampton,SCO
Ben Brereton,17,LW,Southampton,CHI
Ross Stewart,11,FW,Southampton,SCO
Cameron Archer,19,FW,Southampton,ENG
Kyle Walker-Peters,2,"LB,RB",Southampton,ENG
Joe Aribo,7,"CM,LW",Southampton,NGA
Flynn Downes,4,CM,Southampton,ENG
Mateus Fernandes,18,CM,Southampton,POR
Kamaldeen Sulemana,20,RW,Southampton,GHA
Flynn Downes,4,DM,Southampton,ENG
Yukinari Sugawara,16,WB,Southampton,JPN
William Smallbone,8,CM,Southampton,IRL
Cameron Archer,19,FW,Southampton,ENG
Kyle Walker-Peters,2,WB,Southampton,ENG
William Smallbone,8,CM,Southampton,IRL
Flynn Downes,4,"CM,CB",Southampton,ENG
Tyler Dibling,33,CM,Southampton,ENG
Joe Aribo,7,CM,Southampton,NGA
Taylor Harwood-Bellis,6,CB,Southampton,ENG
Ben Brereton,17,FW,Southampton,CHI
Jan Bednarek,35,CB,Southampton,POL
Adam Armstrong,9,FW,Southampton,ENG
Radu Drăgușin,6,CB,Tottenham Hotspur,ROU
Brennan Johnson,22,RW,Tottenham Hotspur,WAL
Destiny Udogie,13,LB,Tottenham Hotspur,ITA
Pape Matar Sarr,29,DM,Tottenham Hotspur,SEN
Rodrigo Bentancur,30,CM,Tottenham Hotspur,URU
Cristian Romero,17,CB,Tottenham Hotspur,ARG
Pedro Porro,23,RB,Tottenham Hotspur,ESP
Ben Davies,33,CB,Tottenham Hotspur,WAL
Yves Bissouma,8,"DM,CM",Tottenham Hotspur,MLI
Guglielmo Vicario,1,GK,Tottenham Hotspur,ITA
Dominic Solanke,19,FW,Tottenham Hotspur,ENG
Wilson Odobert,28,RW,Tottenham Hotspur,FRA
Rodrigo Bentancur,30,CM,Tottenham Hotspur,URU
Yves Bissouma,8,DM,Tottenham Hotspur,MLI
Guglielmo Vicario,1,GK,Tottenham Hotspur,ITA
Brennan Johnson,22,RW,Tottenham Hotspur,WAL
