name,team,position,minutes,goals_scored,assists,clean_sheets,yellow_cards,red_cards
André Trindade da Costa Neto,Wolves,MID,623,0,0,0,2,0
Francisco Jorge Tomás Oliveira,Wolves,MID,6,0,0,0,0,0
Gonçalo Manuel Ganchinho Guedes,Wolves,MID,205,1,2,0,1,0
Hwang Hee-chan,Wolves,MID,294,0,0,0,0,0
Rodrigo Martins Gomes,Wolves,MID,265,0,0,0,0,0
Pablo Sarabia,Wolves,MID,179,1,0,0,1,0
Tom Edozie,Wolves,MID,0,0,0,0,0,0
Tommy Doyle,Wolves,MID,268,0,1,0,0,0
Mario Lemina,Wolves,MID,1152,1,3,1,3,0
Luke Cundle,Wolves,MID,0,0,0,0,0,0
João Victor Gomes da Silva,Wolves,MID,1191,2,1,1,4,0
Tawanda Chirewa,Wolves,MID,0,0,0,0,0,0
Joe Hodge,Wolves,MID,0,0,0,0,0,0
Jean-Ricner Bellegarde,Wolves,MID,624,1,2,2,2,0
Fábio Silva,Wolves,FWD,0,0,0,0,0,0
Saša Kalajdžić,Wolves,FWD,0,0,0,0,0,0
Nathan Fraser,Wolves,FWD,0,0,0,0,0,0
Matheus Santos Carneiro Da Cunha,Wolves,FWD,1155,7,3,1,1,0
Leon Chiwome,Wolves,FWD,0,0,0,0,0,0
Jørgen Strand Larsen,Wolves,FWD,1165,6,2,2,2,0
